project,ticker,tier,category,host_chain_aggregate,admin_exposure,cross_chain_exposure,reserve_custody_exposure,other_exposure,ec_sunset,date_last_updated,audit,report
MELANIA,MELANIA,F,Meme,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
FLUID,FLUID,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-15,,
SIREN,SIREN,F,Meme,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-13,,
GAS,GAS,F,DeFi Governance,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
RAVE,RAVE,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-15,,
Wormhole,W,F,Utility,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,f-nothing.svg,f-nothing.svg,2026-05-15,,coins/wormhole.md
SAFE,SAFE,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
SPK,SPK,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,f-nothing.svg,f-nothing.svg,2026-05-16,,
Lombard,BARD,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,f-nothing.svg,f-nothing.svg,2026-05-16,,
DEEP,DEEP,F,DeFi Governance,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-15,,coins/deep.md
STG,STG,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,f-nothing.svg,f-nothing.svg,2026-05-16,,
YFI,YFI,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
COW,COW,F,DeFi Governance,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
FTX Token,FTT,F,Exchange Token,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-16,,
NFT,APENFT,F,Utility,f-nothing.svg,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-14,,
USDGO,USDGO,F,Stablecoin,f-nothing.svg,f-nothing.svg,n-not-applicable.svg,n-not-applicable.svg,n-not-applicable.svg,f-nothing.svg,2026-05-14,,
